name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
江苏硕世生物科技股份有限公司, 5, 4.0625, 上海市通力律师事务所, 招商证券股份有限公司, 立信会计师事务所（特殊普通合伙）
普元信息技术股份有限公司, 5, 3.3429, 上海申威资产评估有限公司, 众华会计师事务所（特殊普通合伙）, 民生证券股份有限公司, 北京市君合律师事务所
中联云港数据科技股份有限公司, 8, 7.7, 信永中和会计师事务所（特殊普通合伙）, 北京国融兴华资产评估有限责任公司, 国浩律师（北京）事务所, 华泰联合证券有限责任公司
洛阳建龙微纳新材料股份有限公司, 5, 3.6399, 北京中同华资产评估有限公司, 中天国富证券有限公司, 北京市京都律师事务所, 瑞华会计师事务所（特殊普通合伙）
迈得医疗工业设备股份有限公司, 5, 3.3914, 浙江天册律师事务所, 坤元资产评估有限公司, 广发证券股份有限公司, 天健会计师事务所（特殊普通合伙）
无锡祥生医疗科技股份有限公司, 5, 9.5344, 上海市通力律师事务所, 国金证券股份有限公司, 华普天健会计师事务所（特殊普通合伙）, 上海众华资产评估有限公司
深圳清溢光电股份有限公司, 5, 4.025, 上海市锦天城律师事务所, 天健会计师事务所（特殊普通合伙）, 广发证券股份有限公司, 中瑞世联资产评估（北京）有限公司
北京金山办公软件股份有限公司, 5, 20.5013, 北京市君合律师事务所, 中联资产评估集团有限公司, 大华会计师事务所（特殊普通合伙）, 中国国际金融股份有限公司
二十一世纪空间技术应用股份有限公司, 5, 8.076, 北京国枫律师事务所, 中信建投证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京中天华资产评估有限责任公司
华夏天信智能物联股份有限公司, 8, 9.2803, 开元资产评估有限公司, 致同会计师事务所（特殊普通合伙）, 中泰证券股份有限公司, 北京德恒律师事务所
广东利元亨智能装备股份有限公司, 5, 7.4513, 广东正中珠江会计师事务所（特殊普通合伙）, 广东联信资产评估土地房地产估价有限公司, 北京国枫律师事务所, 民生证券股份有限公司
三达膜环境技术股份有限公司, 5, 14.1, 致同会计师事务所（特殊普通合伙）, 长江证券承销保荐有限公司, 上海市锦天城律师事务所
江苏联瑞新材料股份有限公司, 5, 2.8467, 东莞证券股份有限公司, 北京市康达律师事务所, 广东正中珠江会计师事务所（特殊普通合伙）, 江苏银信资产评估房地产估价有限公司
