name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
山东泰丰智能控制股份有限公司, 8, 3.36, 长城国瑞证券有限公司, 大信会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 坤元资产评估有限公司
正元地理信息集团股份有限公司, 2, 5.9854, 中银国际证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京海润天睿律师事务所, 中京民信(北京)资产评估有限公司
上海泰坦科技股份有限公司, 5, 5.35, 中信证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 北京卓信大华资产评估有限公司
深圳市科思科技股份有限公司, 5, 13.0682, 中天国富证券有限公司, 立信会计师事务所（特殊普通合伙）, 江苏世纪同仁律师事务所, 中水致远资产评估有限公司
传神语联网网络科技股份有限公司, 8, 3.6338, 申港证券股份有限公司, 北京中证天通会计师事务所（特殊普通合伙）, 北京市万商天勤律师事务所, 北京国融兴华资产评估有限责任公司
上海合晶硅材料股份有限公司, 2, 10, 中国国际金融股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）
上海宏力达信息技术股份有限公司, 5, 12, 华泰联合证券有限责任公司, 大信会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 万隆(上海)资产评估有限公司
上海阿拉丁生化科技股份有限公司, 5, 4.3343, 西部证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京华亚正信资产评估有限公司, 银信资产评估有限公司
东来涂料技术（上海）股份有限公司, 5, 4.3125, 东方证券承销保荐有限公司, 立信会计师事务所（特殊普通合伙）, 北京市大成律师事务所, 银信资产评估有限公司
广东德冠薄膜新材料股份有限公司, 2, 3.8698, 招商证券股份有限公司, 华兴会计师事务所（特殊普通合伙）, 北京市通商律师事务所, 广东联信资产评估土地房地产估价有限公司
天臣国际医疗科技股份有限公司, 5, 3.5983, 安信证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 北京中天和资产评估有限公司
江苏泛亚微透科技股份有限公司, 5, 3, 东方证券承销保荐有限公司, 天健会计师事务所（特殊普通合伙）, 广东信达律师事务所, 坤元资产评估有限公司, 江苏中企华中天资产评估有限公司
苏州世华新材料科技股份有限公司, 5, 8.0365, 华泰联合证券有限责任公司, 江苏公证天业会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 江苏中企华中天资产评估有限公司
上纬新材料科技股份有限公司, 5, 2.155, 申万宏源证券承销保荐有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 万隆(上海)资产评估有限公司
精英数智科技股份有限公司, 8, 3.3731, 中德证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 中水致远资产评估有限公司
桂林智神信息技术股份有限公司, 8, 7.7169, 安信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 广东华商律师事务所, 中联国际评估咨询有限公司
慧翰微电子股份有限公司, 4, 5.31, 兴业证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 上海市瑛明律师事务所
路德环境科技股份有限公司, 5, 3.5, 安信证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 中京民信(北京)资产评估有限公司
武汉科前生物股份有限公司, 5, 17.4703, 招商证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 中京民信(北京)资产评估有限公司
浙江蓝特光学股份有限公司, 5, 7.0733, 华泰联合证券有限责任公司, 天健会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 坤元资产评估有限公司
芯海科技（深圳）股份有限公司, 5, 5.4515, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 广东华商律师事务所
赛赫智能设备（上海）股份有限公司, 8, 3.5192, 国元证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 上海众华资产评估有限公司
上海奕瑞光电子科技股份有限公司, 5, 7.7, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市方达律师事务所, 银信资产评估有限公司
思瑞浦微电子科技（苏州）股份有限公司, 5, 8.5, 海通证券股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 银信资产评估有限公司
福建福昕软件开发股份有限公司, 5, 4.0736, 兴业证券股份有限公司, 福建华兴会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 北京中企华资产评估有限责任公司
合肥科威尔电源系统股份有限公司, 5, 2.76, 国元证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 安徽天禾律师事务所, 中水致远资产评估有限公司
慧捷（上海）科技股份有限公司, 8, 3.0444, 安信证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 万隆(上海)资产评估有限公司
西安瑞联新材料股份有限公司, 5, 10.5152, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市瑛明律师事务所, 中和资产评估有限公司
吉林奥来德光电材料股份有限公司, 5, 6.773, 申万宏源证券承销保荐有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 北京经纬仁达资产评估有限公司
浙江海德曼智能装备股份有限公司, 5, 3.2113, 民生证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 浙江天册律师事务所, 坤元资产评估有限公司
江苏固德威电源科技股份有限公司, 5, 6.9325, 东兴证券股份有限公司, 天衡会计师事务所（特殊普通合伙）, 安徽承义律师事务所, 北京天健兴业资产评估有限公司
北京莱伯泰科仪器股份有限公司, 5, 3.6, 招商证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 北京中天华资产评估有限责任公司
深圳市海目星激光智能装备股份有限公司首次公开发行股票并在科创板上市, 5, 8, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 中瑞世联资产评估（北京）有限公司
苏州绿的谐波传动科技股份有限公司, 5, 5.4645, 国泰君安证券股份有限公司, 天衡会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 北京天健兴业资产评估有限公司
圣湘生物科技股份有限公司, 5, 5.5658, 西部证券股份有限公司, 中审众环会计师事务所（特殊普通合伙）, 湖南启元律师事务所, 北京亚超资产评估有限公司
成都苑东生物制药股份有限公司, 5, 11.61, 中信证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 天源资产评估有限公司
北京铁科首钢轨道技术股份有限公司, 5, 7.4631, 中信建投证券股份有限公司, 中兴财光华会计师事务所（特殊普通合伙）, 北京海润天睿律师事务所, 中水致远资产评估有限公司
北京键凯科技股份有限公司, 5, 3.2, 中信证券股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 北京安杰律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）
上海正帆科技股份有限公司, 5, 4.4234, 国泰君安证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 银信资产评估有限公司
江苏中信博新能源科技股份有限公司, 5, 6.8138, 安信证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京海润天睿律师事务所, 中水致远资产评估有限公司
浙江瑞晟智能科技股份有限公司, 5, 3.9758, 民生证券股份有限公司, 众华会计师事务所（特殊普通合伙）, 上海市嘉华律师事务所, 万邦资产评估有限公司
杭州华光焊接新材料股份有限公司, 5, 3.5552, 中国银河证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 北京观韬中茂律师事务所, 天源资产评估有限公司
芯原微电子（上海）股份有限公司, 5, 7.9, 招商证券股份有限公司, 德勤华永会计师事务所（特殊普通合伙）, 上海市方达律师事务所, 上海立信资产评估有限公司
郑州信大捷安信息技术股份有限公司首次公开发行股票并在科创板上市, 8, 8.229, 中原证券股份有限公司, 利安达会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 北京国融兴华资产评估有限责任公司
广州安必平医药科技股份有限公司, 5, 3.7387, 民生证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 广东信达律师事务所
上海复洁环保科技股份有限公司, 5, 5.0022, 海通证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市大成律师事务所, 坤元资产评估有限公司
昆山龙腾光电股份有限公司, 5, 15, 东吴证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 上海申威资产评估有限公司
北京博睿宏远数据科技股份有限公司, 5, 4.1335, 兴业证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 北京中天华资产评估有限责任公司
苏州敏芯微电子技术股份有限公司, 5, 7.0673, 国泰君安证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 浙江天册律师事务所, 坤元资产评估有限公司
北京亿华通科技股份有限公司, 5, 12, 国泰君安证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 银信资产评估有限公司
上海先惠自动化技术股份有限公司, 5, 3.994, 东兴证券股份有限公司, 上会会计师事务所（特殊普通合伙）, 上海市广发律师事务所, 上海申威资产评估有限公司, 上海众华资产评估有限公司
上海凯赛生物技术股份有限公司, 5, 46.9891, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 上海立信资产评估有限公司
康希诺生物股份公司, 5, 10, 中信证券股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 北京市天元律师事务所, 坤元资产评估有限公司
南亚新材料科技股份有限公司, 5, 9.2, 光大证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 银信资产评估有限公司, 上海申威资产评估有限公司
河南仕佳光子科技股份有限公司, 5, 5, 华泰联合证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）
成都盟升电子技术股份有限公司, 5, 5.0784, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市天元律师事务所
青岛高测科技股份有限公司, 5, 6, 国信证券股份有限公司, 中兴华会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 中铭国际资产评估（北京）有限责任公司
北京赛科希德科技股份有限公司, 5, 3.7072, 中国国际金融股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 中水致远资产评估有限公司
天能电池集团股份有限公司, 4, 35.9455, 中信证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 万隆(上海)资产评估有限公司
奇安信科技集团股份有限公司, 5, 45, 中信建投证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京金杜（成都）律师事务所, 中瑞世联资产评估集团有限公司, 北京中同华资产评估有限公司
合肥江航飞机装备股份有限公司, 5, 5.3108, 中信证券股份有限公司, 中航证券有限公司, 中审众环会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 北京天健兴业资产评估有限公司
爱博诺德（北京）医疗科技股份有限公司, 5, 8.002, 招商证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 北京中和谊资产评估有限公司
